,target,1,2,3,4,5
10,http://www.dialog-21.ru/media/2678/percov.pdf,dialogue_2000_f911271f58e2817b4e2eb3289bcb5f1153c64d03,http://www.dialog-21.ru/media/2509/gankin.pdf,http://www.dialog-21.ru/media/1704/79.pdf,http://www.dialog-21.ru/media/1725/4.pdf,dialogue_2007_ed67c940fe22dc3e82e4e5694785bd4a244e0f14
11,dialogue_2019_4a5c4385216b2220faf8860da8101e1c3744c9ca,dialogue_2018_0eb84d5355d2391499df211f5922f3135d5592ee,http://www.dialog-21.ru/media/3394/inkovaoyu.pdf,dialogue_2018_c8e13efcc7fcc866f619d3f5f6d3cbedff02126d,dialogue_2019_3824adc497a9eb6d964638500081edef76c643f2,dialogue_2019_c7586d366e9190922eff6a7a00c78406d3229232
12,http://www.dialog-21.ru/media/1954/iomdinb.pdf,dialogue_2018_52d7ec2abc79699f01012a79b1540626e87131c4,http://www.dialog-21.ru/media/1490/15.pdf,http://www.dialog-21.ru/media/3941/rakhilinaev.pdf,dialogue_2019_f0e2520e152969eced10e85d612e59e97bb7440b,dialogue_2015_5ae5ce82cd8cf56a11ba04b33a8fc50a8e1c5c21
13,http://www.dialog-21.ru/media/1996/podlesskaya.pdf,http://www.dialog-21.ru/media/1281/podlesskayavi.pdf,http://www.dialog-21.ru/media/1892/71.pdf,http://www.dialog-21.ru/media/1254/korotaevna.pdf,dialogue_2019_6950c7c7ff7613ae643005c50f4caa7ae5fbdbee,dialogue_2014_248f976c27229a60b0d475e01d92bf388f9defcc
14,http://www.dialog-21.ru/media/1929/belikov.pdf,http://www.dialog-21.ru/media/1728/7.pdf,http://www.dialog-21.ru/media/1555/05.pdf,http://www.dialog-21.ru/media/2354/belikov-v.pdf,http://www.dialog-21.ru/digests/dialog2014/materials/pdf/MagomedovaVDSlioussarNA.pdf,dialogue_2012_5c971351607a8c9d3467cd3fce4330e4e3568527
15,http://www.dialog-21.ru/media/2024/zaliznyak2.pdf,http://www.dialog-21.ru/digests/dialog2015/materials/pdf/ZalizniakAnnaA.pdf,http://www.dialog-21.ru/media/3946/shmelevadzalizniakana.pdf,http://www.dialog-21.ru/media/1744/23.pdf,http://www.dialog-21.ru/media/3941/rakhilinaev.pdf,dialogue_2017_4764b1d97f58093df9caa377385a9a280f81e3bc
16,http://www.dialog-21.ru/media/1854/33.pdf,http://www.dialog-21.ru/digests/dialog2015/materials/pdf/VilinbakhovaEL.pdf,http://www.dialog-21.ru/media/1744/23.pdf,http://www.dialog-21.ru/media/1850/29.pdf,http://www.dialog-21.ru/media/3915/iomdinll.pdf,dialogue_2018_d96b445a13582434d34f6926199abb387f78d2fa
17,http://www.dialog-21.ru/media/1828/07.pdf,dialogue_2002_d1de430cf94bc088d7d83ee8b3c21b3fc5892315,http://www.dialog-21.ru/digests/dialog2014/materials/pdf/PanchenkoAI.pdf,http://www.dialog-21.ru/media/1843/22.pdf,http://www.dialog-21.ru/media/2618/daragan.pdf,dialogue_2013_725a6f6c0949db6a776b238748da29f50eff7bf7
18,http://www.dialog-21.ru/media/1731/10.pdf,dialogue_2018_fda759598347b245640afdb20c830468273ba0ad,http://www.dialog-21.ru/media/1767/46.pdf,http://www.dialog-21.ru/digests/dialog2015/materials/pdf/ApresyanVY.pdf,http://www.dialog-21.ru/media/2379/khitrovan.pdf,dialogue_2018_c8e13efcc7fcc866f619d3f5f6d3cbedff02126d
19,http://www.dialog-21.ru/media/1733/12.pdf,dialogue_2000_4fb7ea3f9be2161136e78391502d2a1b5256d53c,http://www.dialog-21.ru/media/1315/123.pdf,http://www.dialog-21.ru/media/1879/58.pdf,http://www.dialog-21.ru/media/2673/packin.pdf,dialogue_2005_5a1b5048bdcc898db93c47219face35c9e4b723b
20,http://www.dialog-21.ru/media/2412/partee_dialog2005.pdf,http://www.dialog-21.ru/media/1642/92.pdf,dialogue_2019_2ae11e31cca0b3255f6d974e3ca933a49b03d961,http://www.dialog-21.ru/digests/dialog2014/materials/pdf/MilicevicJTimoshenkoS.pdf,http://www.dialog-21.ru/media/1388/iomdin.pdf,dialogue_2014_19122ea4d4e9f052fda3a7d65d9d6fa88dcaad5b
