1. 	aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	http://legacy.aistconf.org/stuff/aist2012.pdf
7	dialogue_2002_72c46325ff44e967b825c29b1f7a7adac802369b	ru	0.9384028911590576	http://www.dialog-21.ru/digest/2002/articles/vorontsova/
8	dialogue_2002_5e0cd6dab9163f65688759dbce49e40a7fd582a9	ru	0.9270464777946472	http://www.dialog-21.ru/digest/2002/articles/rakitskaya/
9	dialogue_2002_d3c8a2a3ad72c94f653904793659c86972d61bb5	ru	0.9156084656715393	http://www.dialog-21.ru/digest/2002/articles/zazaeva/
10	dialogue_2004_f1bc2dcaae7147698d986b63337fe6bce3d80385	ru	0.9145492911338806	http://www.dialog-21.ru/media/2561/rubinshtein.pdf

7. 	dialogue_2002_977c4161efebe2a2da2bc9070b4c366f6dd7790d	ru	http://www.dialog-21.ru/digest/2002/articles/odintsev/
1	dialogue_2002_95ec453188ac28fa8af193d4c4f0d3989b72eefe	ru	0.9901725053787231	http://www.dialog-21.ru/digest/2002/articles/ermakov/
2	dialogue_2002_d27d7c5053c19153ca39dd88eb61c1aafc8c083e	ru	0.9891864061355591	http://www.dialog-21.ru/digest/2002/articles/kobzareva/
3	dialogue_2010_89654a6e174bee3159dfb0992fc50386d87840a1	ru	0.9885584115982056	http://www.dialog-21.ru/media/1653/28.pdf
4	dialogue_2002_142141991ce299bf6f2a74e154d6c4aa63ab7412	ru	0.9883800148963928	http://www.dialog-21.ru/digest/2002/articles/khahalin1/
5	dialogue_2003_e6accc639be06ee0e5f150c5b5b106381fba1d5e	ru	0.9881659746170044	http://www.dialog-21.ru/media/2598/afanisjev.pdf
6	dialogue_2011_1ead279a28181f8af2e595eac2114f1c2dc57efd	ru	0.9879956245422363	http://www.dialog-21.ru/media/1428/28.pdf
7	dialogue_2001_86d74f3bc770ec15a94bff16b28698291010853f	ru	0.9877558946609497	http://www.dialog-21.ru/digest/2001/articles/odintsev/
8	dialogue_2009_fb4d960bd8cf3eed9d9e51f9ce4c0f90329ecc7c	ru	0.9873888492584229	http://www.dialog-21.ru/media/1613/63.pdf
9	dialogue_2010_4d182dbaf77ec867ab20e7063295bbf0f5e39e0a	ru	0.987336277961731	http://www.dialog-21.ru/media/1688/63.pdf
10	aist_2013_8200539f3cfa7e9b595193f42fd9b49b4f57864d	ru	0.9869130253791809	https://publications.hse.ru/chapters/102449956

8. 	dialogue_2002_189f5dd4351f966d86f836462283ef485f0255cd	ru	http://www.dialog-21.ru/digest/2002/articles/perekrestenko/
1	dialogue_2005_f0716199b0fb1c9cea6ceaba385fde12118646d1	ru	0.9854059219360352	http://www.dialog-21.ru/media/2414/perekrestenkoa.pdf
2	dialogue_2006_94358299f43a22fc4a98943d9aae99341b158608	ru	0.9853413105010986	http://www.dialog-21.ru/media/2005/starostin.pdf
3	dialogue_2004_362ef4c32d51ff3d0cc37fdfdfc411b9b1be72b1	ru	0.9839586615562439	http://www.dialog-21.ru/media/2557/perekrestenko.pdf
4	dialogue_2002_6679f134c915ebe549b0e4ec3af7dff91994adb0	ru	0.9835807085037231	http://www.dialog-21.ru/digest/2002/articles/egorushkin/
5	dialogue_2001_09e3b519a2276fe25446cf717ab04b7e1d1654e5	ru	0.9818122386932373	http://www.dialog-21.ru/digest/2001/articles/azhichakov/
6	dialogue_2002_3096502f2fb57b6d2244abc559ef634a5c4bdec7	ru	0.9808681607246399	http://www.dialog-21.ru/digest/2002/articles/chikoidze/
7	dialogue_2007_fae40b13fd3be96582088d47c8d99f918a6dbb18	ru	0.980713963508606	http://www.dialog-21.ru/media/1842/21.pdf
8	dialogue_2011_7200c18071a8974f2f383ed885b576a5bc31bebb	ru	0.9805728793144226	http://www.dialog-21.ru/media/1438/37.pdf
9	dialogue_2003_d2833f08db67f72fee623ad229a7510c7b8df9aa	ru	0.9800348877906799	http://www.dialog-21.ru/media/2636/ivlicheva.pdf
10	dialogue_2005_6f4d6ad42411a506369e977b916a12b7ba17d75b	ru	0.9800056219100952	http://www.dialog-21.ru/media/2452/ivlitchevao.pdf

9. 	dialogue_2003_e0f3ab61a399630033ac49475bf036c043196202	ru	http://www.dialog-21.ru/media/2611/bolshakov.pdf
1	aist_2013_850a8c2b914358a5124c7051ac01bb5c59f28c6f	ru	0.9887845516204834	http://legacy.aistconf.org/stuff/aist2013.pdf
2	dialogue_2006_f7ccf97fc91322880ede7ea38e523425c016ff05	ru	0.9875475764274597	http://www.dialog-21.ru/media/1949/gelbukh.pdf
3	dialogue_2008_c69bd78a65834f8e697945f4fa81e759a979d8a0	ru	0.9874334335327148	http://www.dialog-21.ru/media/1736/15.pdf
4	dialogue_2007_6d1c8946649744b1390f66d0b855ceece9cb838c	ru	0.9872226715087891	http://www.dialog-21.ru/media/1840/19.pdf
5	dialogue_2011_7200c18071a8974f2f383ed885b576a5bc31bebb	ru	0.9859790802001953	http://www.dialog-21.ru/media/1438/37.pdf
6	dialogue_2008_bb189160d2eea7de2e32e36a025293f7adb3fb7f	ru	0.9857870936393738	http://www.dialog-21.ru/media/1787/67.pdf
7	dialogue_2013_d99b6714cc7a6a01a0bbc8d16bc1381efbb1a359	ru	0.9857471585273743	http://www.dialog-21.ru/media/1224/belikovvi.pdf
8	dialogue_2005_fb9fb69c241ac67a8f782a946ac8843e3751f591	ru	0.985149621963501	http://www.dialog-21.ru/media/2388/kopotevm.pdf
9	dialogue_2009_ac4a1cd7d3a5d29ea900544527574468fa4d13c4	ru	0.9850322604179382	http://www.dialog-21.ru/media/1624/74.pdf
10	dialogue_2000_836eb2c674caa7b7062c95bbf174db832d4088ae	ru	0.9850229620933533	http://www.dialog-21.ru/digest/2000/articles/gerasimov/

10. 	dialogue_2003_ccc14b44cd5851614cd4adfbd59dd73fcdb8a09e	ru	http://www.dialog-21.ru/media/2677/pekar.pdf
1	dialogue_2002_586a53fd1369411ce28af3c73f813cd7ee699bde	ru	0.9891163110733032	http://www.dialog-21.ru/digest/2002/articles/pekar/
2	dialogue_2004_4bcf5826b7d5003df12f07c646fa971ac7ac48f6	ru	0.9885775446891785	http://www.dialog-21.ru/media/2556/pekar.pdf
