1. 	aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	http://legacy.aistconf.org/stuff/aist2012.pdf
1	aist_2013_850a8c2b914358a5124c7051ac01bb5c59f28c6f	ru	0.9884665012359619	http://legacy.aistconf.org/stuff/aist2013.pdf
2	dialogue_2010_654a11da5a92fd9ef5df40bdbf209938e4fca7bf	ru	0.9883262515068054	http://www.dialog-21.ru/media/1659/34.pdf
3	dialogue_2007_6d1c8946649744b1390f66d0b855ceece9cb838c	ru	0.9875871539115906	http://www.dialog-21.ru/media/1840/19.pdf
4	dialogue_2002_b43489a3c19b7d8047e61104468bdca4688551d2	ru	0.9874445199966431	http://www.dialog-21.ru/digest/2002/articles/demin/
5	dialogue_2006_f7ccf97fc91322880ede7ea38e523425c016ff05	ru	0.9873641729354858	http://www.dialog-21.ru/media/1949/gelbukh.pdf
6	dialogue_2011_23fd31a3f193633698c223c394830d53b202bae1	ru	0.9870189428329468	http://www.dialog-21.ru/media/1429/29.pdf
7	dialogue_2004_1548e8f0e7ea21d812fd63b7fcefe7a74cc728a6	ru	0.9869765043258667	http://www.dialog-21.ru/media/2496/bolshakov.pdf
8	dialogue_2014_f3bc6814efc3760ed6e1539710b6fb234e3f4671	ru	0.9861944913864136	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/BelikovVI.pdf
9	dialogue_2008_bb189160d2eea7de2e32e36a025293f7adb3fb7f	ru	0.9858300685882568	http://www.dialog-21.ru/media/1787/67.pdf
10	aist_2012_0d7835669cae12eae3023ad7b24430af4d60ea2e	ru	0.9853246212005615	http://legacy.aistconf.org/stuff/aist2012.pdf

10. 	dialogue_2003_ccc14b44cd5851614cd4adfbd59dd73fcdb8a09e	ru	http://www.dialog-21.ru/media/2677/pekar.pdf
1	dialogue_2002_586a53fd1369411ce28af3c73f813cd7ee699bde	ru	0.9875963926315308	http://www.dialog-21.ru/digest/2002/articles/pekar/
